Team	Opponent	Game Site	Game Result	Team Score	Opponent Score	
Colorado State	San Jose State	@	W	85	84	1
Colorado State	San Diego State	H	L	62	69	-7
Colorado State	Utah State	H	L	92	96	-4
Colorado State	Air Force	@	W	83	79	4
Colorado State	San Jose State	H	W	74	66	8
Colorado State	Wyoming	@	L	76	83	-7
Colorado State	San Diego State	@	L	67	69	-2
Colorado State	Nevada	H	W	76	67	9
Colorado State	Boise State	H	W	97	93	4
Colorado State	Nevada-Las Vegas	@	L	80	87	-7
Colorado State	Utah State	@	L	59	72	-13
Colorado State	Wyoming	H	L	66	84	-18
Colorado State	New Mexico	H	W	86	69	17
Colorado State	Nevada	@	L	80	87	-7
Colorado State	Fresno State	@	L	73	87	-14
Colorado State	Air Force	H	W	87	73	14
Colorado State	San Jose State	N	W	80	61	19
Colorado State	Boise State	N	W	88	81	7
Colorado State	Fresno State	N	L	56	64	-8
Colorado	Iowa State	N	L	62	68	-6
Colorado	Auburn	@	W	91	84	7
Colorado	Portland	H	W	85	63	22
Colorado	Nebraska-Omaha	H	W	87	82	5
Colorado	Air Force	H	W	81	70	11
Colorado	Northern Colorado	H	W	82	52	30
Colorado	Fort Lewis	H	W	95	71	24
Colorado	Colorado State	@	W	88	77	11
Colorado	Brigham Young	H	W	92	83	9
Colorado	Nicholls State	H	W	85	68	17
Colorado	Hampton	H	W	95	53	42
Colorado	Penn State	N	W	71	70	1
Colorado	Southern Methodist	N	L	66	70	-4
Colorado	University of California	@	L	65	79	-14
Colorado	Stanford	@	W	56	55	1
Colorado	Utah	H	L	54	56	-2
Colorado	Oregon State	H	W	71	54	17
Colorado	Oregon	H	W	91	87	4
Colorado	Washington	@	L	83	95	-12
Colorado	Washington State	@	W	75	70	5
Colorado	Stanford	H	W	91	75	16
Colorado	University of California	H	W	70	62	8
Colorado	Oregon	@	L	56	76	-20
Colorado	Oregon State	@	L	56	60	-4
Colorado	Washington State	H	W	88	81	7
Colorado	Washington	H	W	81	80	1
Colorado	Southern California	@	L	72	79	-7
Colorado	UCLA	@	L	53	77	-24
Colorado	Arizona	H	W	75	72	3
Colorado	Arizona State	H	W	79	69	10
Colorado	Utah	@	L	55	57	-2
Colorado	Washington State	N	W	80	56	24
Colorado	Arizona	N	L	78	82	-4
Columbia	Kean	H	W	107	62	45
Columbia	Kansas State	@	L	71	81	-10
Columbia	Northwestern	@	L	80	83	-3
Columbia	Lehigh	H	W	88	61	27
Columbia	Wofford	H	W	70	59	11
Columbia	Fairfield	@	L	81	82	-1
Columbia	Longwood	H	L	69	70	-1
Columbia	Bucknell	@	W	72	61	11
Columbia	Saint Joseph's	H	L	78	80	-2
Columbia	Delaware	H	W	82	69	13
Columbia	Manhattan	@	W	72	71	1
Columbia	NJIT	H	W	65	56	9
Columbia	Robert Morris	H	W	78	71	7
Columbia	Howard	H	W	72	59	13
Columbia	Stony Brook	@	L	60	69	-9
Columbia	Maryland-Eastern Shore	H	W	81	75	6
Columbia	Central Pennsylvania College	H	W	96	68	28
Columbia	Cornell	H	W	74	70	4
Columbia	Cornell	@	W	79	68	11
Columbia	Dartmouth	@	W	77	60	17
Columbia	Harvard	@	W	55	54	1
Columbia	Yale	@	L	72	86	-14
Columbia	Brown	@	W	77	73	4
Columbia	Pennsylvania	H	W	63	53	10
Columbia	Princeton	H	L	83	88	-5
Columbia	Harvard	H	W	90	76	14
Columbia	Dartmouth	H	W	73	54	19
Columbia	Princeton	@	L	83	88	-5
Columbia	Pennsylvania	@	W	93	65	28
Columbia	Brown	H	W	66	63	3
Columbia	Yale	H	L	55	71	-16
Connecticut	Maine	H	W	100	56	44
Connecticut	New Hampshire	H	W	85	66	19
Connecticut	Furman	H	W	83	58	25
Connecticut	Michigan	N	W	74	60	14
Connecticut	Syracuse	N	L	76	79	-3
Connecticut	Gonzaga	N	L	70	73	-3
Connecticut	Sacred Heart	H	W	82	49	33
Connecticut	Maryland	N	L	66	76	-10
Connecticut	Ohio State	H	W	75	55	20
Connecticut	Massachusetts-Lowell	H	W	88	79	9
Connecticut	Central Connecticut State	H	W	99	52	47
Connecticut	Texas	@	W	71	66	5
Connecticut	Tulane	@	W	75	67	8
Connecticut	Temple	H	L	53	55	-2
Connecticut	Memphis	H	W	81	78	3
Connecticut	Tulsa	@	L	51	60	-9
Connecticut	Houston	@	W	69	57	12
Connecticut	Tulane	H	W	60	42	18
Connecticut	Georgetown	H	W	68	62	6
Connecticut	Cincinnati	H	L	57	58	-1
Connecticut	Central Florida	@	W	67	41	26
Connecticut	Memphis	@	W	77	57	20
Connecticut	East Carolina	H	W	85	67	18
Connecticut	Temple	@	L	58	63	-5
Connecticut	Tulsa	H	W	75	73	2
Connecticut	Southern Methodist	H	W	68	62	6
Connecticut	Cincinnati	@	L	60	65	-5
Connecticut	South Florida	@	W	81	51	30
Connecticut	Houston	H	L	68	75	-7
Connecticut	Southern Methodist	@	L	54	80	-26
Connecticut	Central Florida	H	W	67	46	21
Connecticut	Cincinnati	N	W	104	97	7
Coppin State	Eastern Kentucky	@	L	80	107	-27
Coppin State	Iowa	@	L	68	103	-35
Coppin State	Goldey-Beacom	H	W	80	73	7
Coppin State	Chestnut Hill	H	W	92	75	17
Coppin State	Towson	H	L	77	81	-4
Coppin State	Akron	@	L	71	77	-6
Coppin State	Hampton	H	L	71	74	-3
Coppin State	Norfolk State	H	L	56	88	-32
Coppin State	Kansas State	@	L	58	83	-25
Coppin State	Fordham	@	L	55	92	-37
Coppin State	San Francisco	@	L	93	96	-3
Coppin State	University of California	@	L	51	84	-33
Coppin State	Eastern Michigan	H	L	62	73	-11
Coppin State	Creighton	@	L	77	102	-25
Coppin State	Iowa State	@	L	84	104	-20
Coppin State	Howard	@	L	63	72	-9
Coppin State	Bethune-Cookman	@	W	62	54	8
Coppin State	Florida A&M	@	W	70	66	4
Coppin State	North Carolina A&T	H	W	73	68	5
Coppin State	Maryland-Eastern Shore	H	L	81	83	-2
Coppin State	Morgan State	@	L	43	83	-40
Coppin State	South Carolina State	@	L	83	88	-5
Coppin State	Savannah State	@	L	63	72	-9
Coppin State	Howard	H	W	90	66	24
Coppin State	Delaware State	H	L	67	71	-4
Coppin State	North Carolina Central	H	W	71	60	11
Coppin State	Norfolk State	@	L	77	85	-8
Coppin State	Morgan State	H	L	72	74	-2
Coppin State	Delaware State	@	W	72	62	10
Coppin State	North Carolina A&T	N	W	98	91	7
Coppin State	South Carolina State	N	L	80	90	-10
Cornell	Georgia Tech	@	L	81	116	-35
Cornell	Colgate	@	W	101	98	3
Cornell	Binghamton	H	W	76	59	17
Cornell	Canisius	@	L	62	87	-25
Cornell	Penn State-Harrisburg	H	W	76	47	29
Cornell	Pittsburgh	@	L	49	93	-44
Cornell	Massachusetts-Lowell	@	L	77	80	-3
Cornell	Siena	H	W	81	80	1
Cornell	Lafayette	H	W	85	67	18
Cornell	Syracuse	@	L	46	67	-21
Cornell	Monmouth	H	L	69	78	-9
Cornell	Saint Peter's	@	W	65	62	3
Cornell	Albany (NY)	H	L	70	75	-5
Cornell	Howard	@	W	84	81	3
Cornell	Columbia	@	L	70	74	-4
Cornell	Columbia	H	L	68	79	-11
Cornell	Harvard	@	W	77	65	12
Cornell	Dartmouth	@	W	77	73	4
Cornell	Brown	@	L	80	86	-6
Cornell	Yale	@	L	52	83	-31
Cornell	Princeton	H	L	56	85	-29
Cornell	Pennsylvania	H	L	84	92	-8
Cornell	Dartmouth	H	L	66	78	-12
Cornell	Harvard	H	L	74	76	-2
Cornell	Pennsylvania	@	L	67	79	-12
Cornell	Princeton	@	L	60	74	-14
Cornell	Yale	H	L	64	88	-24
Cornell	Brown	H	W	75	71	4
Creighton	Texas Southern	H	W	93	70	23
Creighton	Texas-San Antonio	H	W	103	78	25
Creighton	Indiana	@	L	65	86	-21
Creighton	Rutgers	N	W	85	75	10
Creighton	Massachusetts	N	W	97	76	21
Creighton	Western Illinois	H	W	97	67	30
Creighton	Arizona State	H	L	77	79	-2
Creighton	Loyola (IL)	@	L	65	68	-3
Creighton	Nebraska	H	W	83	67	16
Creighton	IUPUI	H	W	90	65	25
Creighton	Oklahoma	@	L	74	87	-13
Creighton	North Texas	H	W	105	82	23
Creighton	Coppin State	H	W	102	77	25
Creighton	St. John's (NY)	@	W	80	70	10
Creighton	Villanova	H	L	71	85	-14
Creighton	Georgetown	H	W	79	66	13
Creighton	Seton Hall	@	W	82	67	15
Creighton	Providence	H	L	48	50	-2
Creighton	DePaul	@	W	91	80	11
Creighton	Butler	H	W	72	64	8
Creighton	Georgetown	@	L	73	74	-1
Creighton	Seton Hall	H	L	65	75	-10
Creighton	Villanova	@	L	58	83	-25
Creighton	DePaul	H	W	88	66	22
Creighton	Xavier	H	W	70	56	14
Creighton	Marquette	@	W	65	62	3
Creighton	Butler	@	L	75	88	-13
Creighton	Marquette	H	L	61	66	-5
Creighton	St. John's (NY)	H	W	100	59	41
Creighton	Providence	@	L	66	70	-4
Creighton	Xavier	@	L	93	98	-5
Creighton	Seton Hall	N	L	73	81	-8
Dartmouth	Seton Hall	@	L	67	84	-17
Dartmouth	Marist	@	L	63	73	-10
Dartmouth	Long Island University	H	W	79	56	23
Dartmouth	Vermont	H	L	63	68	-5
Dartmouth	Hartford	H	W	74	65	9
Dartmouth	Maine	@	W	79	69	10
Dartmouth	Stanford	@	L	50	64	-14
Dartmouth	Cal State Bakersfield	@	L	62	69	-7
Dartmouth	New Hampshire	@	L	56	76	-20
Dartmouth	Longwood	H	W	78	54	24
Dartmouth	Bryant	H	L	60	62	-2
Dartmouth	Fairfield	@	L	85	97	-12
Dartmouth	Harvard	@	L	70	77	-7
Dartmouth	Canisius	H	W	80	69	11
Dartmouth	Pine Manor	H	W	121	56	65
Dartmouth	Harvard	H	W	63	50	13
Dartmouth	Columbia	H	L	60	77	-17
Dartmouth	Cornell	H	L	73	77	-4
Dartmouth	Pennsylvania	@	L	64	71	-7
Dartmouth	Princeton	@	L	70	83	-13
Dartmouth	Yale	H	L	65	75	-10
Dartmouth	Brown	H	W	87	70	17
Dartmouth	Cornell	@	W	78	66	12
Dartmouth	Columbia	@	L	54	73	-19
Dartmouth	Brown	@	L	83	84	-1
Dartmouth	Yale	@	L	71	76	-5
Dartmouth	Pennsylvania	H	W	72	64	8
Dartmouth	Princeton	H	L	65	84	-19
Davidson	Central Florida	H	W	90	85	5
Davidson	College of Charleston	H	W	82	81	1
Davidson	Mercer	H	W	77	71	6
Davidson	Denison	H	W	83	70	13
Davidson	Charlotte	@	W	109	74	35
Davidson	North Carolina	@	L	65	98	-33
Davidson	Eastern Washington	H	W	96	86	10
Davidson	Western Carolina	H	W	87	54	33
Davidson	Pittsburgh	N	L	69	94	-25
Davidson	Morehead State	H	W	81	77	4
Davidson	University of California	@	L	60	86	-26
Davidson	St. Bonaventure	@	L	85	97	-12
Davidson	Duquesne	H	W	77	66	11
Davidson	George Mason	H	W	81	75	6
Davidson	Dayton	@	L	74	80	-6
Davidson	Massachusetts	H	W	86	74	12
Davidson	Saint Louis	@	L	87	96	-9
Davidson	Richmond	@	W	78	70	8
Davidson	Virginia Commonwealth	H	L	69	79	-10
Davidson	George Washington	@	L	69	79	-10
Davidson	Duquesne	@	W	93	82	11
Davidson	La Salle	H	W	79	66	13
Davidson	George Mason	@	L	59	60	-1
Davidson	Richmond	H	W	83	79	4
Davidson	Saint Joseph's	H	W	99	93	6
Davidson	Rhode Island	H	W	65	54	11
Davidson	Fordham	@	L	82	91	-9
Davidson	Virginia Commonwealth	@	L	60	70	-10
Davidson	George Washington	H	W	87	80	7
Davidson	La Salle	N	W	78	63	15
Davidson	St. Bonaventure	N	W	90	86	4
Dayton	Southeast Missouri State	H	W	84	53	31
Dayton	Alabama	H	W	80	48	32
Dayton	William & Mary	H	W	69	66	3
Dayton	Iowa	N	W	82	77	5
Dayton	Monmouth	N	W	73	70	3
Dayton	Xavier	N	L	61	90	-29
Dayton	North Florida	H	W	86	71	15
Dayton	Vanderbilt	@	W	72	67	5
Dayton	Chattanooga	H	L	59	61	-2
Dayton	Furman	H	W	70	50	20
Dayton	Miami (OH)	H	W	64	63	1
Dayton	Arkansas	H	W	85	81	4
Dayton	Duquesne	@	W	66	58	8
Dayton	Massachusetts	H	W	93	63	30
Dayton	La Salle	@	L	57	61	-4
Dayton	Davidson	H	W	80	74	6
Dayton	George Washington	H	W	77	70	7
Dayton	St. Bonaventure	@	W	85	79	6
Dayton	Fordham	@	W	64	50	14
Dayton	Saint Louis	H	W	73	37	36
Dayton	La Salle	H	W	59	44	15
Dayton	George Mason	@	W	98	64	34
Dayton	Duquesne	H	W	76	74	2
Dayton	Rhode Island	@	W	68	66	2
Dayton	Saint Joseph's	@	L	70	79	-9
Dayton	St. Bonaventure	H	L	72	79	-7
Dayton	Saint Louis	@	W	52	49	3
Dayton	Rhode Island	H	L	66	75	-9
Dayton	Richmond	@	W	85	84	1
Dayton	Virginia Commonwealth	H	W	68	67	1
Dayton	Richmond	N	W	69	54	15
Delaware State	Delaware	H	L	56	62	-6
Delaware State	Pennsylvania	H	L	54	60	-6
Delaware State	Nebraska	@	L	60	75	-15
Delaware State	Lamar	H	L	66	77	-11
Delaware State	UC-Riverside	@	L	55	81	-26
Delaware State	Fresno State	@	L	59	80	-21
Delaware State	San Francisco	@	L	47	67	-20
Delaware State	Old Dominion	@	L	38	82	-44
Delaware State	Michigan	@	L	33	80	-47
Delaware State	Grand Canyon	@	L	59	88	-29
Delaware State	Temple	@	L	63	78	-15
Delaware State	Utah	@	L	58	105	-47
Delaware State	Texas Christian	@	L	47	75	-28
Delaware State	Summit	H	W	93	44	49
Delaware State	Morgan State	@	L	58	63	-5
Delaware State	Howard	H	L	67	71	-4
Delaware State	South Carolina State	@	L	79	90	-11
Delaware State	Savannah State	@	L	47	64	-17
Delaware State	North Carolina A&T	H	W	57	55	2
Delaware State	North Carolina Central	H	W	71	60	11
Delaware State	South Carolina State	H	L	41	56	-15
Delaware State	Cheyney	H	W	86	70	16
Delaware State	Bethune-Cookman	@	L	56	85	-29
Delaware State	Florida A&M	@	L	95	96	-1
Delaware State	Maryland-Eastern Shore	H	W	75	71	4
Delaware State	Coppin State	@	W	71	67	4
Delaware State	Norfolk State	H	W	67	64	3
Delaware State	Hampton	H	L	72	82	-10
Delaware State	Maryland-Eastern Shore	@	L	65	74	-9
Delaware State	Hampton	@	L	65	79	-14
Delaware State	Coppin State	H	L	62	72	-10
Delaware State	Savannah State	N	L	58	63	-5
Delaware	Delaware State	@	W	62	56	6
Delaware	Iona	@	L	77	92	-15
Delaware	Fairleigh Dickinson	H	W	73	72	1
Delaware	Temple	@	L	50	69	-19
Delaware	Bradley	H	W	70	47	23
Delaware	South Florida	H	W	67	58	9
Delaware	Columbia	@	L	69	82	-13
Delaware	Marist	@	W	70	69	1
Delaware	Boston College	@	L	61	69	-8
Delaware	Villanova	@	L	48	78	-30
Delaware	Buffalo	@	L	79	99	-20
Delaware	Hofstra	@	L	80	90	-10
Delaware	James Madison	H	L	63	73	-10
Delaware	Northeastern	@	L	56	88	-32
Delaware	North Carolina-Wilmington	H	L	67	85	-18
Delaware	Towson	H	L	77	79	-2
Delaware	Northeastern	H	L	60	69	-9
Delaware	North Carolina-Wilmington	@	L	70	79	-9
Delaware	College of Charleston	@	L	58	59	-1
Delaware	William & Mary	H	L	79	94	-15
Delaware	Towson	@	L	97	101	-4
Delaware	Elon	@	L	56	83	-27
Delaware	William & Mary	@	L	64	90	-26
Delaware	Drexel	H	W	69	60	9
Delaware	Hofstra	H	L	66	77	-11
Delaware	College of Charleston	H	W	62	59	3
Delaware	James Madison	@	L	50	75	-25
Delaware	Drexel	@	L	64	74	-10
Delaware	Elon	H	L	59	77	-18
Delaware	College of Charleston	N	L	63	67	-4
Denver	Milwaukee	N	L	58	71	-13
Denver	Santa Clara	@	W	55	33	22
Denver	Lipscomb	N	W	82	69	13
Denver	Utah Valley	H	W	75	62	13
Denver	Idaho State	H	W	79	69	10
Denver	South Alabama	H	W	69	56	13
Denver	Wyoming	H	L	52	68	-16
Denver	Air Force	H	L	59	61	-2
Denver	San Diego	@	W	59	47	12
Denver	Weber State	H	W	69	68	1
Denver	Northern Colorado	@	W	81	77	4
Denver	Eastern Washington	H	L	58	74	-16
Denver	UC-Riverside	@	L	54	63	-9
Denver	South Dakota State	@	L	59	68	-9
Denver	North Dakota State	@	L	49	75	-26
Denver	Oral Roberts	H	W	78	75	3
Denver	IPFW	H	L	64	65	-1
Denver	Western Illinois	@	W	76	69	7
Denver	IUPUI	@	L	61	76	-15
Denver	Nebraska-Omaha	H	L	55	69	-14
Denver	South Dakota	H	W	66	52	14
Denver	South Dakota State	H	L	56	67	-11
Denver	IUPUI	H	W	53	51	2
Denver	Nebraska-Omaha	@	W	75	72	3
Denver	Western Illinois	H	L	60	63	-3
Denver	IPFW	@	L	84	88	-4
Denver	Oral Roberts	@	L	58	62	-4
Denver	South Dakota	@	W	76	71	5
Denver	North Dakota State	H	W	70	59	11
Denver	Nebraska-Omaha	N	W	78	70	8
Denver	South Dakota State	N	L	53	54	-1
DePaul	Western Michigan	H	W	69	63	6
DePaul	Penn State	@	L	62	68	-6
DePaul	South Carolina	N	L	61	76	-15
DePaul	Florida State	N	L	67	83	-16
DePaul	Norfolk State	N	W	82	78	4
DePaul	Illinois-Chicago	@	W	82	55	27
DePaul	Chicago State	H	W	96	72	24
DePaul	Drake	@	W	74	71	3
DePaul	Arkansas-Little Rock	H	L	44	66	-22
DePaul	Stanford	@	L	60	79	-19
DePaul	Northwestern	H	L	70	78	-8
DePaul	George Washington	H	W	82	61	21
DePaul	Georgetown	H	L	58	70	-12
DePaul	Seton Hall	@	L	74	78	-4
DePaul	Butler	H	L	72	77	-5
DePaul	Georgetown	@	L	63	74	-11
DePaul	Xavier	@	L	64	84	-20
DePaul	Creighton	H	L	80	91	-11
DePaul	Marquette	@	W	57	56	1
DePaul	Butler	@	L	53	67	-14
DePaul	Xavier	H	L	65	86	-21
DePaul	Providence	H	W	77	70	7
DePaul	Creighton	@	L	66	88	-22
DePaul	Villanova	H	L	59	86	-27
DePaul	St. John's (NY)	@	L	65	80	-15
DePaul	Marquette	H	L	60	73	-13
DePaul	St. John's (NY)	H	W	83	75	8
DePaul	Providence	@	L	66	87	-21
DePaul	Villanova	@	L	62	83	-21
DePaul	Seton Hall	H	L	66	80	-14
DePaul	Georgetown	N	L	53	70	-17
Detroit Mercy	Central State (OH)	H	W	88	65	23
Detroit Mercy	Pittsburgh	@	L	79	95	-16
Detroit Mercy	Michigan-Dearborn	H	W	122	70	52
Detroit Mercy	Oral Roberts	@	L	95	100	-5
Detroit Mercy	Vanderbilt	@	L	52	102	-50
Detroit Mercy	Northeastern	H	W	76	73	3
Detroit Mercy	Toledo	H	W	75	72	3
Detroit Mercy	Bowling Green State	H	W	95	80	15
Detroit Mercy	Central Florida	H	W	95	89	6
Detroit Mercy	Western Kentucky	@	L	74	79	-5
Detroit Mercy	Eastern Michigan	@	L	73	88	-15
Detroit Mercy	Youngstown State	H	W	96	87	9
Detroit Mercy	Cleveland State	H	W	88	80	8
Detroit Mercy	Illinois-Chicago	H	W	87	69	18
Detroit Mercy	Valparaiso	H	L	74	92	-18
Detroit Mercy	Oakland	H	L	82	86	-4
Detroit Mercy	Wright State	@	L	76	77	-1
Detroit Mercy	Milwaukee	@	L	80	83	-3
Detroit Mercy	Green Bay	@	L	108	115	-7
Detroit Mercy	Northern Kentucky	H	L	83	91	-8
Detroit Mercy	Wright State	H	W	75	68	7
Detroit Mercy	Cleveland State	@	W	71	63	8
Detroit Mercy	Youngstown State	@	W	94	92	2
Detroit Mercy	Green Bay	H	L	85	86	-1
Detroit Mercy	Milwaukee	H	W	80	66	14
Detroit Mercy	Northern Kentucky	@	W	74	68	6
Detroit Mercy	Illinois-Chicago	@	W	83	72	11
Detroit Mercy	Valparaiso	@	L	74	90	-16
Detroit Mercy	Oakland	@	L	97	108	-11
Detroit Mercy	Youngstown State	N	W	92	79	13
Detroit Mercy	Wright State	N	L	72	82	-10
Drake	Simpson	H	W	97	52	45
Drake	Tulane	@	L	74	79	-5
Drake	Missouri-Kansas City	H	L	73	79	-6
Drake	Western Kentucky	N	W	81	79	2
Drake	Weber State	N	L	58	74	-16
Drake	Pepperdine	N	W	69	53	16
Drake	Illinois-Chicago	H	W	83	62	21
Drake	Bowling Green State	@	L	63	75	-12
Drake	DePaul	H	L	71	74	-3
Drake	Nevada	@	L	71	79	-8
Drake	Iowa	N	L	64	70	-6
Drake	Abilene Christian	H	W	87	70	17
Drake	Wichita State	@	L	47	67	-20
Drake	Illinois State	H	L	62	67	-5
Drake	Indiana State	H	L	69	79	-10
Drake	Northern Iowa	@	L	44	77	-33
Drake	Evansville	@	L	65	84	-19
Drake	Southern Illinois	H	L	76	81	-5
Drake	Missouri State	H	L	70	79	-9
Drake	Loyola (IL)	@	L	63	68	-5
Drake	Illinois State	@	L	64	76	-12
Drake	Bradley	H	W	80	70	10
Drake	Indiana State	@	L	56	63	-7
Drake	Northern Iowa	H	L	66	82	-16
Drake	Wichita State	H	L	48	74	-26
Drake	Southern Illinois	@	L	60	75	-15
Drake	Evansville	H	L	74	80	-6
Drake	Bradley	@	L	70	73	-3
Drake	Missouri State	@	L	52	61	-9
Drake	Loyola (IL)	H	W	69	59	10
Drake	Missouri State	N	L	67	69	-2
Drexel	Saint Joseph's	@	L	81	82	-1
Drexel	High Point	H	L	66	75	-9
Drexel	Monmouth	H	L	74	82	-8
Drexel	North Carolina-Asheville	N	L	66	85	-19
Drexel	Alaska-Anchorage	@	L	65	71	-6
Drexel	San Diego	N	L	59	62	-3
Drexel	La Salle	@	W	66	53	13
Drexel	South Carolina	@	L	54	79	-25
Drexel	Penn State	N	L	57	63	-6
Drexel	Pennsylvania	H	W	53	52	1
Drexel	Iona	@	L	70	77	-7
Drexel	North Carolina-Wilmington	@	L	63	75	-12
Drexel	Elon	@	L	78	83	-5
Drexel	William & Mary	H	L	63	72	-9
Drexel	College of Charleston	H	W	61	54	7
Drexel	Hofstra	@	L	61	69	-8
Drexel	Towson	@	L	50	69	-19
Drexel	James Madison	@	L	45	68	-23
Drexel	North Carolina-Wilmington	H	L	71	77	-6
Drexel	Towson	H	L	70	77	-7
Drexel	Hofstra	H	L	64	70	-6
Drexel	James Madison	H	L	56	78	-22
Drexel	College of Charleston	@	L	38	60	-22
Drexel	Delaware	@	L	60	69	-9
Drexel	Northeastern	@	L	60	70	-10
Drexel	Elon	H	L	76	81	-5
Drexel	William & Mary	@	W	74	69	5
Drexel	Delaware	H	W	74	64	10
Drexel	Northeastern	H	L	59	61	-2
Drexel	Elon	N	W	57	56	1
Drexel	Hofstra	N	L	67	80	-13
Duke	Siena	H	W	92	74	18
Duke	Bryant	H	W	113	75	38
Duke	Kentucky	N	L	63	74	-11
Duke	Virginia Commonwealth	N	W	79	71	8
Duke	Georgetown	N	W	86	84	2
Duke	Yale	H	W	80	61	19
Duke	Utah State	H	W	85	52	33
Duke	Indiana	H	W	94	74	20
Duke	Buffalo	H	W	82	59	23
Duke	Georgia Southern	H	W	99	65	34
Duke	Utah	N	L	75	77	-2
Duke	Elon	H	W	105	66	39
Duke	Long Beach State	H	W	103	81	22
Duke	Boston College	@	W	81	64	17
Duke	Wake Forest	@	W	91	75	16
Duke	Virginia Tech	H	W	82	58	24
Duke	Clemson	@	L	63	68	-5
Duke	Notre Dame	H	L	91	95	-4
Duke	Syracuse	H	L	62	64	-2
Duke	North Carolina State	@	W	88	78	10
Duke	Miami (FL)	@	L	69	80	-11
Duke	Georgia Tech	@	W	80	71	9
Duke	North Carolina State	H	W	88	80	8
Duke	Louisville	H	W	72	65	7
Duke	Virginia	H	W	63	62	1
Duke	North Carolina	@	W	74	73	1
Duke	Louisville	@	L	64	71	-7
Duke	Florida State	H	W	80	65	15
Duke	Pittsburgh	@	L	62	76	-14
Duke	Wake Forest	H	W	79	71	8
Duke	North Carolina	H	L	72	76	-4
Duke	North Carolina State	N	W	92	89	3
Duke	Notre Dame	N	L	79	84	-5
Duquesne	Seton Hill	H	W	96	71	25
Duquesne	New Orleans	H	W	95	75	20
Duquesne	Penn State	N	W	78	52	26
Duquesne	Pepperdine	N	L	70	84	-14
Duquesne	Milwaukee	N	W	96	92	4
Duquesne	Western Kentucky	N	W	81	73	8
Duquesne	Mississippi Valley State	H	W	91	77	14
Duquesne	Pittsburgh	N	L	75	96	-21
Duquesne	Maryland-Baltimore County	H	W	89	70	19
Duquesne	Saint Francis (PA)	@	W	67	65	2
Duquesne	South Carolina State	H	W	83	68	15
Duquesne	Robert Morris	H	W	72	65	7
Duquesne	Georgia Tech	@	L	67	73	-6
Duquesne	Dayton	H	L	58	66	-8
Duquesne	Davidson	@	L	66	77	-11
Duquesne	George Washington	@	L	64	91	-27
Duquesne	Saint Louis	H	W	81	71	10
Duquesne	St. Bonaventure	H	W	95	88	7
Duquesne	Virginia Commonwealth	@	L	71	93	-22
Duquesne	George Mason	@	W	86	75	11
Duquesne	La Salle	H	W	87	60	27
Duquesne	Saint Louis	@	W	78	67	11
Duquesne	Davidson	H	L	82	93	-11
Duquesne	Dayton	@	L	74	76	-2
Duquesne	Massachusetts	H	L	99	108	-9
Duquesne	George Washington	H	L	74	81	-7
Duquesne	Rhode Island	@	L	74	77	-3
Duquesne	St. Bonaventure	@	L	76	80	-4
Duquesne	Richmond	H	L	67	83	-16
Duquesne	Fordham	H	L	69	78	-9
Duquesne	Saint Joseph's	@	W	78	70	8
Duquesne	La Salle	N	L	73	88	-15
East Carolina	Grambling	H	W	61	53	8
East Carolina	Charlotte	H	W	88	74	14
East Carolina	University of California	@	L	62	70	-8
East Carolina	San Diego State	@	L	54	79	-25
East Carolina	Arkansas-Little Rock	N	L	46	54	-8
East Carolina	Stetson	N	W	93	73	20
East Carolina	Florida Atlantic	H	W	74	48	26
East Carolina	South Carolina Upstate	H	W	82	71	11
East Carolina	College of Charleston	@	L	73	77	-4
East Carolina	North Carolina A&T	H	W	71	60	11
East Carolina	North Carolina-Wilmington	H	W	78	73	5
East Carolina	James Madison	@	L	61	67	-6
East Carolina	South Carolina State	H	W	98	71	27
East Carolina	Central Florida	H	L	68	71	-3
East Carolina	Tulsa	@	L	43	55	-12
East Carolina	Temple	@	L	60	78	-18
East Carolina	Southern Methodist	H	L	55	79	-24
East Carolina	Central Florida	@	L	69	89	-20
East Carolina	Tulsa	H	L	69	84	-15
East Carolina	Memphis	@	W	84	83	1
East Carolina	Temple	H	W	64	61	3
East Carolina	Houston	H	L	93	97	-4
East Carolina	Connecticut	@	L	67	85	-18
East Carolina	Tulane	H	L	92	100	-8
East Carolina	Cincinnati	@	L	60	75	-15
East Carolina	South Florida	H	L	52	69	-17
East Carolina	Southern Methodist	@	L	63	74	-11
East Carolina	Tulane	@	W	79	73	6
East Carolina	Cincinnati	H	L	56	65	-9
East Carolina	South Florida	@	W	52	39	13
East Carolina	Memphis	H	L	53	83	-30
East Carolina	South Florida	N	L	66	71	-5
East Tennessee State	Averett	H	W	107	59	48
East Tennessee State	Green Bay	H	W	103	90	13
East Tennessee State	Villanova	@	L	51	86	-35
East Tennessee State	Georgia Tech	@	W	69	68	1
East Tennessee State	Charleston Southern	@	L	76	77	-1
East Tennessee State	North Carolina-Wilmington	H	L	73	94	-21
East Tennessee State	Tennessee Tech	@	L	61	63	-2
East Tennessee State	Milligan	H	W	98	47	51
East Tennessee State	North Carolina-Asheville	@	L	64	84	-20
East Tennessee State	Eastern Kentucky	H	W	87	81	6
East Tennessee State	Tennessee	@	L	67	76	-9
East Tennessee State	Morehead State	H	W	75	72	3
East Tennessee State	Western Carolina	@	W	82	66	16
East Tennessee State	North Carolina Central	@	W	72	68	4
